Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
RET	gene	RET	cancermine	cancermine			Other																												
ROS1	gene	ROS1	cancermine	cancermine			Other																												
RUNX1	gene	RUNX1	cancermine	cancermine			Other																												
RUNX3	gene	RUNX3	cancermine	cancermine			Other																												
SALL4	gene	SALL4	cancermine	cancermine			Other																												
SASH1	gene	SASH1	cancermine	cancermine			Other																												
SEMA3B	gene	SEMA3B	cancermine	cancermine			Other																												
SERPINB5	gene	SERPINB5	cancermine	cancermine			Other																												
SETD2	gene	SETD2	cancermine	cancermine			Other																												
SETDB1	gene	SETDB1	cancermine	cancermine			Other																												
SFRP1	gene	SFRP1	cancermine	cancermine			Other																												
SHH	gene	SHH	cancermine	cancermine			Other																												
SIRT1	gene	SIRT1	cancermine	cancermine			Other																												
SIRT2	gene	SIRT2	cancermine	cancermine			Other																												
SIRT3	gene	SIRT3	cancermine	cancermine			Other																												
SIRT6	gene	SIRT6	cancermine	cancermine			Other																												
SKP2	gene	SKP2	cancermine	cancermine			Other																												
SMAD4	gene	SMAD4	cancermine	cancermine			Other																												
SMARCB1	gene	SMARCB1	cancermine	cancermine			Other																												
SMURF1	gene	SMURF1	cancermine	cancermine			Other																												
SOCS1	gene	SOCS1	cancermine	cancermine			Other																												
SOX1	gene	SOX1	cancermine	cancermine			Other																												
SOX2	gene	SOX2	cancermine	cancermine			Other																												
SOX4	gene	SOX4	cancermine	cancermine			Other																												
SOX9	gene	SOX9	cancermine	cancermine			Other																												
SPARC	gene	SPARC	cancermine	cancermine			Other																												
SPDEF	gene	SPDEF	cancermine	cancermine			Other																												
SPI1	gene	SPI1	cancermine	cancermine			Other																												
SPOP	gene	SPOP	cancermine	cancermine			Other																												
SRC	gene	SRC	cancermine	cancermine			Other																												
SRF	gene	SRF	cancermine	cancermine			Other																												
STAT1	gene	STAT1	cancermine	cancermine			Other																												
STAT3	gene	STAT3	cancermine	cancermine			Other																												
STK11	gene	STK11	cancermine	cancermine			Other																												
SYK	gene	SYK	cancermine	cancermine			Other																												
TAL1	gene	TAL1	cancermine	cancermine			Other																												
TAZ	gene	TAZ	cancermine	cancermine			Other																												
TCF3	gene	TCF3	cancermine	cancermine			Other																												
TCL1A	gene	TCL1A	cancermine	cancermine			Other																												
TERT	gene	TERT	cancermine	cancermine			Other																												
TET1	gene	TET1	cancermine	cancermine			Other																												
TET2	gene	TET2	cancermine	cancermine			Other																												
TFCP2	gene	TFCP2	cancermine	cancermine			Other																												
TFF1	gene	TFF1	cancermine	cancermine			Other																												
THY1	gene	THY1	cancermine	cancermine			Other																												
TLX1	gene	TLX1	cancermine	cancermine			Other																												
TNFAIP3	gene	TNFAIP3	cancermine	cancermine			Other																												
TP53	gene	TP53	cancermine	cancermine			Other																												
TP63	gene	TP63	cancermine	cancermine			Other																												
TPD52	gene	TPD52	cancermine	cancermine			Other																												
TRIM24	gene	TRIM24	cancermine	cancermine			Other																												
TRIM3	gene	TRIM3	cancermine	cancermine			Other																												
TTF1	gene	TTF1	cancermine	cancermine			Other																												
TUSC3	gene	TUSC3	cancermine	cancermine			Other																												
TWIST1	gene	TWIST1	cancermine	cancermine			Other																												
TWSG1	gene	TWSG1	cancermine	cancermine			Other																												
UCHL1	gene	UCHL1	cancermine	cancermine			Other																												
UHRF1	gene	UHRF1	cancermine	cancermine			Other																												
USP9X	gene	USP9X	cancermine	cancermine			Other																												
VEGFA	gene	VEGFA	cancermine	cancermine			Other																												
VHL	gene	VHL	cancermine	cancermine			Other																												
WISP1	gene	WISP1	cancermine	cancermine			Other																												
WNT1	gene	WNT1	cancermine	cancermine			Other																												
WNT5A	gene	WNT5A	cancermine	cancermine			Other																												
WT1	gene	WT1	cancermine	cancermine			Other																												
WWOX	gene	WWOX	cancermine	cancermine			Other																												
YAP1	gene	YAP1	cancermine	cancermine			Other																												
ZBTB16	gene	ZBTB16	cancermine	cancermine			Other																												
ZBTB7A	gene	ZBTB7A	cancermine	cancermine			Other																												
ZEB1	gene	ZEB1	cancermine	cancermine			Other																												
ZFHX3	gene	ZFHX3	cancermine	cancermine			Other																												
ZNF703	gene	ZNF703	cancermine	cancermine			Other																												
